year,month,total_observations
2015,1,479
2015,2,145
2015,3,456
2015,4,583
2015,5,430
2015,6,636
2015,7,329
2015,8,1630
2015,9,192
2015,10,212
2015,11,381
2015,12,734
2016,1,1242
2016,2,444
2016,3,396
2016,4,986
2016,5,834
2016,6,219
2016,7,515
2016,8,537
2016,9,406
2016,10,820
2016,11,1037
2016,12,1165
2017,1,837
2017,2,336
2017,3,843
2017,4,1049
2017,5,1195
2017,6,821
2017,7,1121
2017,8,948
2017,9,510
2017,10,675
2017,11,801
2017,12,1518
2018,1,1104
2018,2,750
2018,3,1419
2018,4,1238
2018,5,2260
2018,6,1117
2018,7,1057
2018,8,1410
2018,9,979
2018,10,555
2018,11,739
2018,12,852
2019,1,1839
2019,2,3710
2019,3,1076
2019,4,2591
2019,5,2080
2019,6,924
2019,7,844
2019,8,1386
2019,9,893
2019,10,987
2019,11,1701
2019,12,2120
2020,1,2033
2020,2,955
2020,3,1115
2020,4,276
2020,5,246
2020,6,340
2020,7,669
2020,8,513
2020,9,572
2020,10,501
2020,11,626
2020,12,712
2021,1,525
2021,2,334
2021,3,616
2021,4,559
2021,5,678
2021,6,505
2021,7,791
2021,8,543
2021,9,504
2021,10,694
2021,11,536
2021,12,1146
2022,1,990
2022,2,676
2022,3,925
2022,4,1473
2022,5,2083
2022,6,1192
2022,7,1964
2022,8,1822
2022,9,2792
2022,10,3487
2022,11,2800
2022,12,3876
2023,1,2941
2023,2,1992
2023,3,5899
2023,4,4693
2023,5,3129
2023,6,3587
2023,7,3018
2023,8,3759
2023,9,5096
2023,10,7800
2023,11,8163
2023,12,5845
2024,1,4133
2024,2,4198
2024,3,5342
2024,4,6507
2024,5,4297
2024,6,4580
2024,7,6256
2024,8,4685
2024,9,9462
2024,10,5748
2024,11,6088
2024,12,6041
2025,1,5958
2025,2,5070
2025,3,6512
2025,4,5949
2025,5,4029
2025,6,923
